symbol,latest_decile,latest_pred_ret,n_deciles
PHR,6,0.88,10
PIT,1,-3.6,10
PJT,8,1.5,10
PLP,4,-1.18,10
PLX,9,2.26,10
PMG,10,8.23,10
PNC,2,-1.83,10
PNJ,4,0.04,10
POW,9,1.92,10
PPC,9,1.42,10
PTB,10,2.76,10
PTC,1,-6.26,10
PTL,1,-7.29,10
PVD,8,2.48,10
PVP,8,2.29,10
PVT,2,-1.2,10
QCG,9,6.06,10
RAL,8,1.27,10
REE,9,1.75,10
S4A,8,2.76,10
SAB,6,-0.03,10
SAM,10,3.16,10
SAV,8,3.07,10
SBA,4,0.69,10
SBT,4,-0.57,10
SBV,8,1.32,10
SC5,3,-1.43,10
SCR,1,-15.24,10
SCS,9,0.98,10
SFC,10,8.7,10
SFG,4,-1.12,10
SFI,1,-2.55,10
SGN,4,-0.3,10
SGR,5,-0.48,10
SGT,6,1.69,10
SHA,4,-0.62,10
SHB,7,1.61,10
SHI,3,-0.4,10
SHP,6,1.4,10
SIP,4,-0.34,10
SJD,4,-0.1,10
SJS,10,5.33,10
SKG,7,-0.02,10
SMA,6,0.74,10
SMB,5,0.23,10
SMC,4,-1.66,10
SPM,5,-0.48,10
SRC,10,22.31,10
SRF,9,2.62,10
SSB,1,-3.06,10
SSC,9,3.35,10
SSI,10,5.0,10
ST8,10,7.4,10
STB,5,0.96,10
STG,10,9.82,10
STK,9,1.35,10
SVC,2,-1.69,10
SVD,1,-4.32,10
SVT,6,0.72,10
SZC,9,2.52,10
SZL,10,5.51,10
TBC,6,1.04,10
TCB,10,4.36,10
TCH,10,5.96,10
TCI,1,-2.26,10
TCL,10,2.1,10
TCM,10,1.95,10
TCO,7,3.69,10
TCR,1,-9.82,10
TCT,5,-0.69,10
TDC,10,7.61,10
TDG,2,-2.35,10
TDH,10,4.65,10
TDM,8,1.5,10
TDP,1,-0.74,10
TDW,8,5.18,10
TEG,1,-3.39,10
THG,1,-1.58,10
TIP,7,0.34,10
